Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
I Do Not Think That They Will Sing To Me	16	6	11	6	1	15	14	5	4	20	10	2	8	2	17	3	0	4	6	10	1	7	8	5	0	38	2	3	5	3	3	4	15	14	23	11	3	0	1	3	2	1	6	9	5	5	4	1	3	14	4	8	10	4	5	9	5	12	8	6	2	4	3	9	6	4	1	5	5	1	9	7	5	1	2	2	7	1	7	5	5	8	0	12	4	10	6	5	4	6	27	6	12	6	7	2	9	31	8	3	0	7	3	6	5	2	9	7	0	8	4	1	15	6	12	4	1	11	13	10	10	5	34	7	2	7	7	0	5	15	3	6	2	4	3	6	5	7	2	9	4	6	1	11	11	3	5	0	2	7	4	5	8	5	8	8	10	4	11	13	0	7	13	2	19	22	3	15	12	11	6	1	0	10	6	0	12	13	0	3	11	0	2	3	4	2	6	2	20	9	6	4	4	8	3	0	0	12	6	18	0	0	2	9	6	0	5	6	19	4	25	21	4	14	0	5	3	24	0	7	13	1	12	5	16	9	1	2	7	5	6	2	1	15	11	6	4	9	7	5	8	7	4	2	19	27	12	23	1	19	3	2	11	2	8	3	7	1	12	14	0	3	11	15	4	9	7	1	14	19	15	1	16	13	5	3	4	7	1	7	14	11	3	20	12	17	30	1	8	16	4	7	19	2	27	16	2	12	42	0	0	1	16	8	3	0	4	5	4	10	6	4	25	85	3	3	4	1	26	38	0	2	12	5	11	3	0	3	3	13	36	9	1	1	2	20	14	5	6	4	2	1	7	7	2	20	31	34	2	5	5	5	2	0	7	2	4	16	3	2	2	2	4	3	11	5	1	4	10	13	3	1	1	2	2	0	0	4	3	1	0	0	1	11	20	11	8	18	2	90	6	11	10	11	18	8	12	5	4	11	1	6	5	3	1	12	2	11	3	12	12	4	0	6	34	5	6	2	0	0	20	6	2	19	4	46	10	18	19	7	3	5	0	9	5	4	3	5	0	4	9	8	3	15	6	1	17	10	0	12	10	7	11	18	19	14	0	18	9	10	6	1	19	0	2	10	4	36	10	16	6	20	21	6	11	9	2	9	7	3	1	9	7	7	4	0	29	3	3	8	9	2	3	4	12	2	20	7	3	6
Breathe A Little Deeper...	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
Evans Est. 1997	2	1	2	0	5	1	0	0	0	0	1	0	3	3	2	0	0	0	5	2	0	1	0	3	0	0	0	2	2	0	0	0	0	3	0	3	0	0	0	0	2	2	3	0	1	0	0	1	3	1	2	0	0	1	2	0	0	0	2	0	1	0	0	1	0	1	11	0	1	1	0	1	1	1	0	0	1	2	0	0	0	0	0	1	2	0	1	2	1	1	0	3	0	1	0	0	2	1	0	0	0	0	2	1	0	0	1	4	2	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	2	0	1	1	0	7	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	5	1	0	0	5	7	0	0	5	0	0	0	0	2	1	0	2	0	0	0	0	2	1	1	0	0	0	0	5	0	0	0	5	1	1	2	0	0	1	7	0	0	1	0	2	1	2	0	6	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	3	0	4	0	2	1	1	0	1	1	4	1	0	0	0	1	1	0	2	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	2	1	0	2	1	0	0	0	0	1	0	0	3	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2	0	3	0	0	0	0	0	1	0	1	0	1	1	0	3	1	1	2	0	1	0	1	2	0	2	1	2	0	0	0	0	0	0	0	1	0	1	2	1	0	0	4	0	0	1	1	2	1	5	0	1	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	4	0	0	0	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	4	0	0	0	1	0	0	1	0	0	2	0	0	0	4	0	1	0	0	0	0	0	2	0	3	0	1	0	0	5	4	0	0	0	2	0	0	0	2	6	0	0	1	1	0	0	1	0	0	11	0	1	1	0	1	1	6	2	1	1	1	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	1	0	0	1	0	3
The Life and Times of the Hartman Family	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	2	1	1	2	0	0	1	1	0	0	2	0	0	1	3	0	0	0	0	2	1	1	0	0	3	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	3	5	0	0	0	0	0	1	0	0	0	1	2	1	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	4	0	0	2	1	0	3	0	0	0	0	1	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	5	1	7	0	0	0	0	0	0	1	1	7	0	0	0	2	0	2	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	4	1	1	0	0	0	1	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2	1	2	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	21	0	11	1	1	0	0	5	0	7	0	6	0	4	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	1	0	0	0	4	0	0	1	0	1	0	0	8	0	0	3	0	2	0	3	1	0	0	0	1	0	0	0	10	0	0	0	0	1	0	0	0	1	0	3	0	1	0	1	1	4	1	1	0	0	1	0	0	1	0	0	0	0	0	3	1	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Providence Public Library Computer Classes	0	0	0	1	0	1	0	0	1	0	2	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	4	0	1	1	0	0	0	0	2	0	0	1	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	8	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	2	0	6	1	7	0	0	0	1	0	1	0	0	0	3	7	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	1	0	0	0	0	0	1	5	1	0	0	0	0	1	0	0	0	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	2	3	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	4	2	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	9	0	1	0	0	1	1	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	3	7	1	4	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	7	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
..... Christian Poet's Pen	0	0	2	0	0	0	1	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CINEMUERTE	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	1	3	0	1	0	1	1	4	2	1	0	0	0	0	0	3	0	0	1	9	0	0	3	0	0	1	5	0	0	8	0	2	0	0	0	0	0	1	0	1	1	176	3	2	0	1	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	4	0	2	0	0	0	1	0	0	0	0	3	0	2	1	0	4	0	0	1	0	216	240	6	4	0	0	0	1	0	0	0	2	1	25	1	8	1	1	2	1	1	3	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	2	227	2	0	2	3	0	0	2	2	0	2	0	1	0	0	0	0	0	0	43	0	0	5	2	0	10	0	1	0	8	0	2	2	7	0	2	1	0	1	1	0	0	0	0	1	2	0	0	1	1	0	0	1	0	3	14	0	2	0	5	2	0	0	0	0	0	0	0	2	0	3	10	0	0	1	1	3	0	6	2	8	0	1	0	0	5	0	0	0	0	8	6	0	0	2	1	1	3	1	2	2	0	1	0	0	0	0	0	1	0	1	3	1	1	0	1	0	0	530	0	0	0	0	10	0	0	0	2	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	5	0	0	1	0	3	2	1	0	0	0	242	1	0	0	0	1	0	0	0	5	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	2	2	0	0	0	0	0	0	8	0	5	1	0	155	0	1	0	1	0	0	1	0	43	0	1	0	0	0	3	1	0	1	0	0	2	0	1	0	3	0	1	3	0	0	0	0	0	0	1	0	0	1	0	2	0	2	0	0	0	1	0	2	1	11	0	0	1	1	1	0	7	0	0	2	5	0	1	1	0	1	0	0	2	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	1	2	0	0	0	0	0	3	0	0	0	5	0	1	0	0	28	7	0	0	0	4	0	1	0	0	4	1	3	3
Awaiting a Miracle	4	12	22	4	0	0	4	1	0	3	8	8	4	11	26	1	2	19	2	2	0	13	7	7	37	62	10	17	6	0	0	5	11	45	17	24	0	0	11	0	6	16	11	9	9	11	4	7	7	3	0	25	35	7	12	19	5	2	13	15	27	0	1	4	9	3	2	81	15	3	4	14	1	11	0	1	23	36	42	0	1	5	0	10	18	10	4	6	10	350	11	0	1	2	15	1	2	0	0	0	0	279	1	1	5	0	11	17	94	8	3	0	8	8	25	3	1	10	6	6	1	9	4	23	22	2	27	0	11	4	0	0	18	5	8	4	55	17	5	19	8	5	1	3	11	0	9	10	9	11	0	16	9	4	12	1	5	0	8	5	6	1	3	36	11	11	0	5	9	18	2	0	4	18	1	1	5	5	69	152	8	3	2	3	13	1	39	38	7	4	5	30	0	10	140	2	15	4	15	35	12	30	13	6	8	95	11	9	4	3	3	34	4	2	0	15	28	29	0	15	27	1	33	1	6	5	3	9	19	8	29	9	18	6	4	10	4	1	52	5	0	23	3	22	7	8	7	0	8	3	37	5	0	2	9	0	0	8	4	6	2	0	42	0	19	27	2	168	9	27	3	0	3	3	10	5	4	1	1	6	0	45	7	36	2	6	6	4	44	19	1	6	22	3	13	14	0	9	18	0	0	18	11	7	4	1	14	19	0	90	0	0	2	3	15	5	0	6	2	17	7	6	15	12	6	14	7	12	121	5	15	31	0	10	4	26	16	127	82	0	0	0	1	6	16	3	20	13	9	7	0	5	0	2	334	12	9	12	4	4	0	1	15	8	10	6	1	6	30	1	19	7	21	0	1	0	2	7	1	0	12	2	21	8	10	2	22	23	4	0	0	37	33	20	2	10	3	11	27	3	9	1	0	321	8	1	8	13	8	27	34	1	0	4	0	4	4	14	0	13	15	5	44	9	0	2	11	49	11	0	0	21	0	11	12	8	7	0	0	5	2	28	2	0	2	0	18	13	0	8	3	2	2	0	76	13	0	2	36	14	0	0	12	3	1	16	10	8	15	19	8	2	0	17	16	38	4	13	10	1	0	0	3	15	13	33	4	0	157	16	19	45	11	9	23	2	4	19	1	8
HARMONY GRACE ELOHIM	6	2	43	2	0	1	6	0	0	1	0	6	0	1	4	4	0	0	3	0	0	1	1	1	10	0	0	5	3	0	1	0	0	2	1	0	0	0	0	0	1	0	5	8	3	1	2	0	0	0	0	18	15	5	5	0	0	1	1	1	1	0	0	0	0	1	0	2	0	0	1	1	0	1	0	0	5	3	0	0	1	0	1	7	0	4	10	10	3	1	13	0	2	0	1	6	3	0	8	0	0	3	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	5	14	1	0	0	2	0	0	24	0	0	0	0	2	4	4	0	0	4	3	0	2	4	0	0	0	0	1	0	0	1	4	1	8	0	2	1	0	1	0	2	1	1	0	1	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	10	0	0	8	1	6	1	0	19	2	4	2	0	4	2	0	4	0	2	7	0	0	2	0	1	1	1	4	4	3	6	12	6	1	0	6	1	7	0	7	0	23	3	0	0	1	0	1	0	1	0	0	0	0	8	1	3	1	1	0	1	4	0	2	0	1	1	1	0	2	2	1	0	0	0	2	1	0	0	0	1	0	0	0	0	11	1	7	0	5	1	0	0	0	0	6	15	0	1	2	0	2	5	6	1	1	0	5	1	9	2	0	0	3	33	4	6	1	5	1	0	0	0	1	0	1	0	0	0	0	4	28	0	0	4	15	0	10	0	0	0	7	3	1	1	11	4	0	1	0	36	7	1	5	0	5	12	8	0	0	1	0	0	0	0	0	1	2	3	14	0	0	0	1	16	0	4	5	0	2	0	0	0	0	7	0	3	1	0	1	5	0	0	3	1	0	0	0	2	3	0	0	38	0	1	0	1	2	0	3	8	1	0	0	2	1	1	3	1	0	2	2	1	0	0	4	5	0	0	4	19	3	8	2	0	0	0	2	2	19	0	0	0	1	0	4	0	0	1	15	2	0	0	1	0	0	4	2	5	1	0	4	0	0	0	0	0	0	1	7	0	0	0	2	1	13	2	3	0	0	0	16	0	0	5	0	1	12	0	5	0	7	1	1	8	1	3	2	0	8	0	0	1	0	2	0	5	6	0	2	5	4	2	3	3	87	4	16	1	2	0	1
MiSs Dreamer	2	0	5	2	0	1	0	0	0	1	0	0	0	0	8	3	0	0	0	5	0	2	2	2	5	1	8	1	2	0	1	1	0	2	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	10	0	4	0	0	0	3	0	2	0	0	0	1	5	2	0	0	0	8	3	11	0	0	0	0	2	0	1	0	0	0	0	3	1	0	1	2	2	1	0	0	0	0	9	0	0	6	0	1	0	6	0	0	0	2	3	0	0	3	5	9	5	0	0	0	0	9	0	2	0	0	1	0	2	4	1	2	5	2	1	0	2	2	2	0	0	0	0	0	0	0	8	0	1	1	2	1	6	1	0	0	2	0	0	3	0	11	0	0	0	1	4	0	0	0	0	0	0	2	1	7	0	1	0	0	7	0	0	1	4	0	0	0	0	0	0	6	5	1	0	0	0	1	0	0	0	0	2	3	1	0	1	1	0	1	0	0	0	0	7	0	17	2	0	0	0	0	0	0	0	2	0	1	2	3	0	2	0	0	0	2	0	0	2	0	0	3	16	0	0	3	2	1	2	0	2	1	1	2	2	0	0	0	0	0	0	1	6	2	5	4	6	1	0	0	4	4	0	0	1	2	1	1	0	1	9	0	0	2	2	0	3	10	0	8	0	0	3	1	1	5	0	0	3	0	3	0	0	0	1	0	20	0	1	6	0	0	0	0	0	2	4	11	0	0	0	5	11	0	5	1	3	0	1	0	6	0	2	0	0	9	0	1	0	0	2	1	4	10	0	4	0	0	1	9	4	8	1	0	0	0	0	0	0	1	0	0	1	0	0	4	0	3	6	0	0	0	0	0	2	0	0	0	0	10	0	2	2	0	2	0	0	0	1	1	1	0	5	6	1	1	0	1	6	0	0	13	2	0	0	5	2	21	0	3	0	1	1	1	2	0	0	5	0	0	5	2	1	0	23	1	0	0	2	0	3	7	2	1	0	0	0	0	0	1	0	0	0	1	9	0	0	0	0	1	1	11	0	0	1	1	2	0	0	2	0	0	4	1	3	1	1	0	0	0	8	9	2	0	0	0	0	1	0	2	0	2	2	0	0	0	9	2	13	8	0	1	0	0	9	5	0
Electric Mud	4	13	8	10	0	1	14	11	2	2	3	5	10	1	1	14	17	4	3	0	9	2	8	11	0	0	4	2	8	8	4	7	0	2	14	2	25	8	0	9	0	0	3	4	15	1	6	0	0	3	15	2	4	0	10	25	35	2	1	14	2	14	6	5	10	2	3	0	10	0	4	3	1	0	0	96	1	1	12	1	6	20	0	5	4	8	4	1	1	2	3	0	16	12	1	4	15	9	2	2	19	1	45	112	2	8	3	2	0	7	16	14	1	9	1	0	26	3	12	4	7	3	3	8	2	8	2	1	0	4	3	4	2	1	19	20	1	5	1	1	17	4	0	0	2	21	2	0	4	3	2	10	2	9	13	355	3	22	7	1	5	18	25	4	5	0	18	3	4	1	10	7	5	7	78	31	1	5	0	1	34	2	68	2	9	26	1	0	4	8	3	6	32	1	0	3	2	4	0	0	15	1	1	13	18	5	69	11	9	8	4	5	0	2	107	14	26	0	2	9	5	15	1	14	2	0	5	0	13	1	3	0	2	7	0	24	32	1	0	69	7	10	11	11	18	7	4	26	1	15	1	26	21	4	4	31	8	37	29	11	1	31	3	4	3	4	21	1	2	0	2	93	12	1	13	54	6	8	12	15	11	5	18	6	0	24	3	6	3	10	4	6	1	11	29	5	6	1	9	0	0	0	1	2	192	1	1	2	26	5	0	0	7	5	12	2	2	2	3	1	14	0	1	11	11	7	1	4	6	11	0	32	3	0	2	1	30	4	8	7	0	1	6	10	2	21	1	4	10	27	7	1	2	11	2	1	10	0	0	5	2	2	11	3	1	1	4	21	3	1	0	4	4	3	4	29	53	18	54	0	10	16	26	12	2	1	0	1	6	13	20	1	8	4	4	5	4	23	1	9	5	9	5	5	17	0	9	7	3	1	1	1	0	6	4	2	1	2	8	10	2	12	5	1	15	45	28	7	10	6	14	2	20	5	2	1	123	1	2	14	10	0	35	18	1	42	1	11	29	2	9	4	2	10	2	9	0	3	31	2	73	12	1	9	31	12	0	6	19	2	3	3	14	2	4	1	7	7	2	0	1	9	1	1	1	0	5	6	0	0	2	3	7	15	1	3	6	1	5	2
F-Measure	1	1	2	2	0	5	2	25	4	8	3	6	10	3	1	21	29	1	0	0	8	4	2	11	1	4	6	7	33	56	0	0	0	2	8	0	37	7	13	5	0	0	1	2	24	0	51	2	2	2	16	6	9	0	5	9	32	2	6	11	2	24	5	9	7	1	3	5	10	0	0	0	28	0	1	42	4	0	2	3	0	5	0	4	9	5	2	1	2	3	14	3	20	23	0	8	6	93	0	4	110	0	24	39	5	2	2	11	2	7	5	21	0	2	1	1	20	3	1	5	9	9	4	12	10	4	1	2	0	2	2	2	1	3	8	19	1	0	1	2	20	0	1	0	0	29	5	0	0	9	3	6	1	16	0	8	8	2	1	0	0	5	26	25	11	0	37	0	1	4	3	4	16	5	17	1	0	43	1	0	20	0	32	1	8	21	2	0	2	14	1	0	8	1	0	1	13	1	0	0	10	0	11	1	13	4	60	14	1	3	25	4	2	3	26	5	7	2	0	2	20	173	9	13	0	8	12	2	14	0	0	1	3	15	3	4	48	4	1	1	178	12	1	1	32	5	2	1	1	13	0	16	6	9	2	35	1	11	16	4	6	2	0	17	1	18	12	1	12	1	9	30	3	13	5	149	1	5	21	8	12	1	10	5	1	2	4	0	8	2	2	12	8	6	2	12	1	2	23	0	2	0	0	0	35	2	1	0	6	3	1	3	6	42	9	2	6	0	0	5	6	6	1	2	10	0	0	0	0	12	1	2	1	6	2	1	22	3	7	1	0	27	6	16	1	10	3	20	0	27	1	9	1	13	0	1	0	3	0	5	3	6	4	0	0	3	32	40	0	0	0	1	3	0	9	814	86	8	55	0	0	11	28	7	3	1	0	4	3	2	7	2	8	28	4	2	1	4	0	8	26	0	5	3	6	98	6	7	5	1	11	6	0	0	0	2	4	6	16	13	6	10	2	6	2	46	13	28	38	5	3	4	9	3	1	5	153	0	24	12	17	1	2	4	0	30	0	6	61	3	8	2	10	4	8	5	0	5	24	1	2	5	2	3	42	9	0	7	55	2	2	4	7	0	3	2	19	4	12	3	0	4	5	0	3	0	4	0	0	7	3	2	1	5	0	1	4	6	5	0
